1 Dreadhorde Arcanist
3 Clifftop Retreat
3 Portable Hole
1 Needleverge Pathway
1 Brightclimb Pathway
2 Brightclimb Pathway
2 Needleverge Pathway
3 Needleverge Pathway
3 Wishclaw Talisman
4 Thrilling Discovery
2 Seasoned Pyromancer
3 Concealed Courtyard
3 Sacred Foundry
4 Concealed Courtyard
4 Sacred Foundry
1 Curse of Silence
2 Soul-Guide Lantern
2 Kolaghan's Command
3 Kolaghan's Command
1 Painful Bond
1 Fragment Reality
2 Painful Bond
3 Painful Bond
1 Fateful Absence
2 Fateful Absence
3 Fateful Absence
4 Fateful Absence
1 Esper Sentinel
1 Lightning Helix
1 Blood Fountain
1 Reckoner Bankbuster
1 Rite of Oblivion
1 Fatal Push
1 Abrade
1 Voldaren Epicure
1 Deadly Dispute
1 Haunted Ridge
1 Vanishing Verse
2 Esper Sentinel
2 Voldaren Epicure
2 Deadly Dispute
2 Blood Fountain
2 Skysovereign, Consul Flagship
2 Haunted Ridge
3 Esper Sentinel
3 Seasoned Pyromancer
3 Blood Fountain
3 Deadly Dispute
3 Haunted Ridge
3 Voldaren Epicure
4 Esper Sentinel
4 Blood Fountain
4 Voldaren Epicure
1 Blazing Rootwalla
2 Blazing Rootwalla
3 Blazing Rootwalla
4 Blazing Rootwalla
