2 Mikaeus, the Lunarch
3 Star Pupil
4 Song of Freyalise
1 Selfless Savior
1 Ajani, Adversary of Tyrants
1 Venerated Loxodon
1 Growth-Chamber Guardian
2 Selfless Savior
2 Growth-Chamber Guardian
2 Venerated Loxodon
2 Ajani, Adversary of Tyrants
3 Selfless Savior
3 Venerated Loxodon
3 Growth-Chamber Guardian
4 Selfless Savior
4 Venerated Loxodon
4 Growth-Chamber Guardian
1 Dromoka's Command
1 Hungering Hydra
1 Fatal Push
1 Agadeem's Awakening
1 Scavenging Ooze
1 The Ozolith
2 Dromoka's Command
2 The Ozolith
2 Brightclimb Pathway
2 Hungering Hydra
2 Scavenging Ooze
2 Fatal Push
3 Scavenging Ooze
3 Dromoka's Command
3 Concealed Courtyard
3 The Ozolith
3 Blooming Marsh
4 Scavenging Ooze
4 Concealed Courtyard
4 Branchloft Pathway
4 Dromoka's Command
4 Blooming Marsh
