2 Opt
3 Opt
1 Expressive Iteration
2 Expressive Iteration
3 Expressive Iteration
4 Fiery Islet
1 Gut Shot
1 Burst Lightning
3 Scalding Tarn
2 Wooded Foothills
2 Burst Lightning
2 Gut Shot
4 Expressive Iteration
1 Arid Mesa
2 Arid Mesa
3 Bloodstained Mire
3 Arid Mesa
1 Bedlam Reveler
3 Wooded Foothills
4 Wooded Foothills
4 Scalding Tarn
4 Serum Visions
4 Arid Mesa
4 Mutagenic Growth
4 Opt
4 Bloodstained Mire
1 Brazen Borrower
1 Shock
1 Surgical Extraction
1 Bonecrusher Giant
3 Steam Vents
1 Mishra's Bauble
2 Mishra's Bauble
3 Mishra's Bauble
4 Mishra's Bauble
