1 Ragavan, Nimble Pilferer
2 Ragavan, Nimble Pilferer
3 Ragavan, Nimble Pilferer
4 Ragavan, Nimble Pilferer
1 Savai Triome
1 Prismatic Ending
1 Flooded Strand
1 Skyclave Apparition
1 Windswept Heath
1 Blood Moon
1 Inspiring Vantage
2 Blood Moon
2 Inspiring Vantage
3 Blood Moon
3 Inspiring Vantage
4 Blood Moon
4 Inspiring Vantage
5 Plains
3 Ghost Quarter
1 Mistveil Plains
4 Marsh Flats
1 Batterskull
1 Sword of Fire and Ice
1 Steam Vents
1 Bonecrusher Giant
1 Shatterskull Smashing
1 Kaldra Compleat
1 Prismatic Vista
1 Stoneforge Mystic
1 Seasoned Pyromancer
2 Prismatic Vista
2 Prismatic Ending
2 Bonecrusher Giant
2 Seasoned Pyromancer
2 Mountain
2 Stoneforge Mystic
2 Flooded Strand
3 Prismatic Ending
3 Prismatic Vista
3 Stoneforge Mystic
3 Seasoned Pyromancer
3 Bonecrusher Giant
4 Prismatic Ending
4 Seasoned Pyromancer
4 Prismatic Vista
4 Stoneforge Mystic
