4 Searing Blaze
3 Bloodstained Mire
3 Wooded Foothills
3 Arid Mesa
1 Mishra's Bauble
2 Mishra's Bauble
3 Mishra's Bauble
4 Mishra's Bauble
1 Seal of Fire
3 Lightning Helix
1 Scalding Tarn
4 Bloodstained Mire
1 Snow-Covered Mountain
2 Snow-Covered Mountain
3 Snow-Covered Mountain
4 Skullcrack
4 Arid Mesa
4 Lightning Helix
2 Scalding Tarn
1 Roiling Vortex
2 Fiery Islet
4 Wooded Foothills
1 Atarka's Command
1 Wild Nacatl
1 Copperline Gorge
1 Thunderous Wrath
1 Stomping Ground
2 Stomping Ground
2 Atarka's Command
2 Wild Nacatl
2 Copperline Gorge
2 Thunderous Wrath
3 Atarka's Command
3 Wild Nacatl
3 Copperline Gorge
3 Thunderous Wrath
4 Atarka's Command
4 Wild Nacatl
4 Copperline Gorge
4 Thunderous Wrath
