4 City of Brass
4 Narcomoeba
2 Tome Scour
2 Arid Mesa
1 Gemstone Caverns
1 Wooded Foothills
4 Scalding Tarn
2 Sacred Foundry
2 Blood Crypt
1 Gemstone Mine
4 Thrilling Discovery
2 Gemstone Caverns
2 Wooded Foothills
3 Arid Mesa
1 Stomping Ground
1 Blackcleave Cliffs
3 Bloodstained Mire
1 Scrapwork Mutt
1 Dakmor Salvage
2 Scrapwork Mutt
3 Gemstone Caverns
4 Gemstone Caverns
2 Gemstone Mine
2 Blackcleave Cliffs
4 Bloodstained Mire
1 Spirebluff Canal
2 Spirebluff Canal
1 Blood Moon
1 Life from the Loam
1 Merchant of the Vale
1 Polluted Delta
3 Steam Vents
3 Wooded Foothills
4 Wooded Foothills
4 Arid Mesa
1 Inspiring Vantage
3 Blackcleave Cliffs
3 Gemstone Mine
4 Gemstone Mine
