6 Plains
7 Plains
1 Steelshaper's Gift
1 Marsh Flats
1 Soul-Guide Lantern
3 Mishra's Bauble
4 Ingenious Smith
1 Snow-Covered Plains
2 Snow-Covered Plains
3 Snow-Covered Plains
4 Snow-Covered Plains
8 Plains
2 Marsh Flats
3 Marsh Flats
4 Marsh Flats
1 Concealed Courtyard
2 Concealed Courtyard
1 Nihil Spellbomb
3 Concealed Courtyard
4 Concealed Courtyard
1 Windswept Heath
5 Snow-Covered Plains
4 Giver of Runes
9 Plains
1 Eiganjo Castle
2 Windswept Heath
1 Arid Mesa
1 Prismatic Ending
1 Flooded Strand
1 Horizon Canopy
1 Sunbaked Canyon
1 Inspiring Vantage
1 Magnetic Theft
2 Inspiring Vantage
2 Magnetic Theft
3 Inspiring Vantage
4 Inspiring Vantage
1 Paradise Mantle
2 Godless Shrine
1 Welding Jar
2 Horizon Canopy
2 Flooded Strand
2 Sunbaked Canyon
3 Sunbaked Canyon
4 Sunbaked Canyon
2 Arid Mesa
2 Steelshaper's Gift
1 Expedition Map
1 Pithing Needle
1 Kor Outfitter
1 Sword of Fire and Ice
1 Nettlecyst
2 Paradise Mantle
3 Steelshaper's Gift
4 Steelshaper's Gift
6 Snow-Covered Plains
7 Snow-Covered Plains
8 Snow-Covered Plains
9 Snow-Covered Plains
10 Snow-Covered Plains
1 Sacred Foundry
3 Arid Mesa
4 Arid Mesa
