2 Finale of Promise
1 Opt
2 Opt
3 Opt
4 Opt
3 Pyromancer Ascension
1 Snapcaster Mage
1 Misty Rainforest
1 Sulfur Falls
2 Flooded Strand
1 Surgical Extraction
1 Echoing Truth
4 Pyromancer Ascension
1 Noxious Revival
2 Noxious Revival
3 Noxious Revival
2 Surgical Extraction
2 Lightning Axe
2 Polluted Delta
1 Spell Pierce
4 Island
1 Saheeli, Sublime Artificer
1 Mission Briefing
2 Snapcaster Mage
1 Snow-Covered Island
2 Snow-Covered Island
3 Snow-Covered Island
3 Gut Shot
4 Gut Shot
1 Hallowed Fountain
1 Monastery Swiftspear
2 Flame Slash
2 Monastery Swiftspear
3 Polluted Delta
3 Monastery Swiftspear
4 Polluted Delta
4 Monastery Swiftspear
