4 Bomat Courier
1 Sunbaked Canyon
3 Flame Slash
1 Castle Embereth
4 Flame Slash
1 Forgotten Cave
2 Forgotten Cave
17 Mountain
2 Castle Embereth
2 Fiery Islet
1 Snow-Covered Mountain
2 Snow-Covered Mountain
3 Snow-Covered Mountain
4 Snow-Covered Mountain
5 Snow-Covered Mountain
6 Snow-Covered Mountain
7 Snow-Covered Mountain
8 Snow-Covered Mountain
9 Snow-Covered Mountain
10 Snow-Covered Mountain
11 Snow-Covered Mountain
12 Snow-Covered Mountain
13 Snow-Covered Mountain
14 Snow-Covered Mountain
18 Mountain
15 Snow-Covered Mountain
1 Claim the Firstborn
16 Snow-Covered Mountain
1 Burst Lightning
3 Fiery Islet
4 Fiery Islet
3 Forgotten Cave
4 Forgotten Cave
