1 Firebolt
2 Firebolt
1 Mutagenic Growth
2 Mutagenic Growth
1 Wild Slash
2 Wild Slash
1 Wooded Foothills
2 Wooded Foothills
1 Mishra's Bauble
2 Mishra's Bauble
3 Mishra's Bauble
4 Mishra's Bauble
3 Fiery Islet
1 Runaway Steam-Kin
2 Runaway Steam-Kin
3 Runaway Steam-Kin
3 Burst Lightning
4 Fiery Islet
1 Arid Mesa
2 Arid Mesa
1 Gut Shot
2 Gut Shot
3 Gut Shot
1 Spirebluff Canal
1 Stormwing Entity
1 Steam Vents
2 Spirebluff Canal
2 Stormwing Entity
2 Steam Vents
3 Spirebluff Canal
3 Stormwing Entity
4 Spirebluff Canal
4 Stormwing Entity
4 Gut Shot
3 Wooded Foothills
4 Burst Lightning
1 Scalding Tarn
2 Scalding Tarn
1 Sprite Dragon
1 Of One Mind
2 Sprite Dragon
2 Of One Mind
1 Bonecrusher Giant
1 Bloodstained Mire
2 Bloodstained Mire
1 Forked Bolt
2 Forked Bolt
1 Sacred Foundry
2 Sacred Foundry
3 Arid Mesa
1 Snow-Covered Mountain
2 Snow-Covered Mountain
3 Scalding Tarn
3 Snow-Covered Mountain
4 Scalding Tarn
4 Snow-Covered Mountain
4 Bedlam Reveler
3 Bloodstained Mire
1 Grim Lavamancer
1 Abbot of Keral Keep
2 Abbot of Keral Keep
3 Forked Bolt
3 Abbot of Keral Keep
4 Forked Bolt
1 Inspiring Vantage
2 Inspiring Vantage
3 Inspiring Vantage
4 Kiln Fiend
4 Arid Mesa
1 Surgical Extraction
2 Surgical Extraction
2 Bonecrusher Giant
3 Sprite Dragon
3 Steam Vents
4 Sprite Dragon
1 Blistercoil Weird
2 Blistercoil Weird
3 Mutagenic Growth
3 Blistercoil Weird
3 Sacred Foundry
4 Mutagenic Growth
4 Blistercoil Weird
1 Goblin Guide
2 Goblin Guide
3 Goblin Guide
4 Goblin Guide
1 Bomat Courier
2 Bomat Courier
3 Bomat Courier
4 Bloodstained Mire
4 Bomat Courier
1 Finale of Promise
1 Electrostatic Field
4 Wooded Foothills
4 Inspiring Vantage
