4 Gut Shot
1 Blistercoil Weird
3 Fiery Islet
1 Crash Through
3 Sunbaked Canyon
4 Lava Dart
1 Forked Bolt
3 Bedlam Reveler
16 Mountain
1 Blood Moon
2 Blistercoil Weird
1 Seasoned Pyromancer
2 Finale of Promise
2 Crash Through
3 Crash Through
4 Bedlam Reveler
4 Crash Through
1 Runaway Steam-Kin
1 Tormenting Voice
1 Fiery Temper
2 Tormenting Voice
2 Runaway Steam-Kin
3 Runaway Steam-Kin
4 Runaway Steam-Kin
17 Mountain
1 Risk Factor
2 Fiery Temper
1 Snow-Covered Mountain
1 Shrine of Burning Rage
2 Risk Factor
1 Young Pyromancer
2 Young Pyromancer
3 Young Pyromancer
2 Forked Bolt
4 Fiery Islet
4 Sunbaked Canyon
1 Mutagenic Growth
2 Mutagenic Growth
3 Blistercoil Weird
4 Blistercoil Weird
