4 Mishra's Bauble
15 Mountain
16 Mountain
3 Burst Lightning
4 Burst Lightning
1 Snow-Covered Mountain
1 Lava Spike
2 Fiery Islet
2 Lava Spike
2 Snow-Covered Mountain
3 Lava Spike
3 Fiery Islet
3 Snow-Covered Mountain
4 Snow-Covered Mountain
4 Lava Spike
5 Snow-Covered Mountain
6 Snow-Covered Mountain
7 Snow-Covered Mountain
8 Snow-Covered Mountain
9 Snow-Covered Mountain
10 Snow-Covered Mountain
11 Snow-Covered Mountain
12 Snow-Covered Mountain
13 Snow-Covered Mountain
14 Snow-Covered Mountain
15 Snow-Covered Mountain
1 Sunbaked Canyon
1 Blistercoil Weird
2 Blistercoil Weird
4 Fiery Islet
1 Runaway Steam-Kin
2 Runaway Steam-Kin
3 Runaway Steam-Kin
