1 Brazen Borrower
4 Ledger Shredder
1 Snow-Covered Island
2 Snow-Covered Island
3 Snow-Covered Island
4 Lightning Bolt
1 Dress Down
3 Scalding Tarn
1 Minor Misstep
1 Archmage's Charm
4 Scalding Tarn
1 Blood Moon
2 Spell Snare
2 Archmage's Charm
3 Misty Rainforest
3 Spell Pierce
2 Dress Down
1 Mercurial Spelldancer
2 Mercurial Spelldancer
3 Archmage's Charm
4 Archmage's Charm
2 Blood Moon
3 Polluted Delta
1 Hallowed Fountain
1 Teferi, Time Raveler
1 Prismatic Ending
1 Subtlety
2 Teferi, Time Raveler
2 Hallowed Fountain
2 Subtlety
2 Prismatic Ending
3 Flooded Strand
3 Prismatic Ending
4 Flooded Strand
4 Misty Rainforest
4 Steam Vents
4 Murktide Regent
2 Minor Misstep
3 Minor Misstep
4 Minor Misstep
3 Mercurial Spelldancer
4 Mercurial Spelldancer
