3 Skullcrack
3 Mountain
4 Skullcrack
4 Skewer the Critics
4 Mountain
5 Mountain
6 Mountain
7 Mountain
8 Mountain
9 Mountain
10 Mountain
11 Mountain
12 Mountain
13 Mountain
14 Mountain
15 Mountain
16 Mountain
17 Mountain
4 Wooded Foothills
1 Shard Volley
2 Shard Volley
3 Arid Mesa
1 Forked Bolt
2 Forked Bolt
3 Forked Bolt
3 Searing Blaze
3 Shard Volley
4 Shard Volley
1 Scalding Tarn
2 Scalding Tarn
1 Mishra's Bauble
2 Mishra's Bauble
3 Mishra's Bauble
4 Mishra's Bauble
1 Sacred Foundry
1 Inspiring Vantage
2 Sacred Foundry
2 Inspiring Vantage
3 Inspiring Vantage
4 Arid Mesa
4 Inspiring Vantage
1 Bloodstained Mire
2 Bloodstained Mire
4 Forked Bolt
18 Mountain
