1 Cindervines
2 Rain of Gore
2 Cindervines
3 Rain of Gore
3 Cindervines
4 Cindervines
3 Dragon's Claw
1 Pyrite Spellbomb
2 Pyrite Spellbomb
3 Pyrite Spellbomb
1 Searing Blood
2 Searing Blood
3 Searing Blood
3 Relic of Progenitus
1 Soul-Guide Lantern
2 Soul-Guide Lantern
3 Soul-Guide Lantern
1 Molten Rain
1 Destructive Revelry
2 Destructive Revelry
2 Molten Rain
1 Fatal Push
1 Rakdos Charm
2 Fatal Push
2 Rakdos Charm
3 Searing Blaze
3 Fatal Push
3 Rakdos Charm
4 Searing Blaze
1 Pithing Needle
2 Pithing Needle
3 Pithing Needle
4 Pithing Needle
4 Soul-Guide Lantern
4 Dragon's Claw
