4 Wooded Foothills
1 Snow-Covered Mountain
1 Snow-Covered Forest
1 Gruul Spellbreaker
1 Tireless Tracker
1 Blood Moon
1 Stormbreath Dragon
1 Thundermaw Hellkite
1 Verdant Catacombs
1 Lightning Bolt
1 Verix Bladewing
1 Sarkhan, Fireblood
2 Gruul Spellbreaker
2 Snow-Covered Forest
2 Tireless Tracker
2 Blood Moon
2 Verdant Catacombs
2 Stormbreath Dragon
3 Stomping Ground
3 Blood Moon
3 Birds of Paradise
3 Snow-Covered Forest
4 Snow-Covered Forest
4 Blood Moon
5 Snow-Covered Forest
6 Snow-Covered Forest
7 Snow-Covered Forest
8 Snow-Covered Forest
9 Snow-Covered Forest
