4 Monastery Swiftspear
3 Tormenting Voice
4 Lava Spike
3 Risk Factor
19 Mountain
1 Gut Shot
2 Gut Shot
1 Flame Jab
1 Insult/Injury
1 Burst Lightning
1 Rift Bolt
2 Rift Bolt
3 Rift Bolt
4 Rift Bolt
2 Burst Lightning
4 Tormenting Voice
1 Pyretic Ritual
1 Ramunap Ruins
1 Needle Drop
2 Needle Drop
3 Needle Drop
4 Needle Drop
2 Pyretic Ritual
3 Pyretic Ritual
1 Bomat Courier
2 Bomat Courier
3 Bomat Courier
4 Bomat Courier
1 Bloodstained Mire
1 Wooded Foothills
1 Scalding Tarn
2 Bloodstained Mire
2 Wooded Foothills
3 Bloodstained Mire
3 Gut Shot
4 Gut Shot
1 Blood Moon
1 The Flame of Keld
2 The Flame of Keld
1 Snow-Covered Mountain
2 Snow-Covered Mountain
3 Snow-Covered Mountain
4 Bloodstained Mire
2 Insult/Injury
4 Pyretic Ritual
1 Arid Mesa
1 Experimental Frenzy
2 Arid Mesa
2 Experimental Frenzy
2 Scalding Tarn
3 Experimental Frenzy
3 Wooded Foothills
4 Experimental Frenzy
