3 Damping Sphere
1 Burrenton Forge-Tender
2 Burrenton Forge-Tender
3 Burrenton Forge-Tender
1 Unified Will
2 Unified Will
1 Timely Reinforcements
2 Timely Reinforcements
4 Kor Firewalker
1 Kira, Great Glass-Spinner
1 Celestial Purge
2 Celestial Purge
1 Aven Mindcensor
1 Disdainful Stroke
2 Disdainful Stroke
1 Archon of Emeria
2 Aven Mindcensor
1 Unsettled Mariner
1 Aether Gust
1 Tale's End
2 Unsettled Mariner
2 Aether Gust
2 Tale's End
3 Unsettled Mariner
3 Aether Gust
3 Tale's End
4 Unsettled Mariner
1 Auriok Champion
2 Auriok Champion
3 Auriok Champion
