4 Windcaller Aven
3 Street Wraith
2 Brazen Borrower
1 Desert Cerodon
2 Desert Cerodon
3 Desert Cerodon
4 Desert Cerodon
2 Cryptic Command
3 Waker of Waves
3 Spirebluff Canal
1 Snow-Covered Island
1 Snow-Covered Forest
1 Snow-Covered Plains
1 Hallowed Fountain
1 Imposing Vantasaur
1 Breeding Pool
1 Botanical Sanctum
1 Ardent Plea
1 Glassdust Hulk
1 Flooded Strand
1 Seachrome Coast
1 Violent Outburst
2 Glassdust Hulk
2 Ardent Plea
2 Violent Outburst
2 Flooded Strand
3 Flooded Strand
3 Misty Rainforest
3 Ardent Plea
3 Violent Outburst
3 Glassdust Hulk
4 Flooded Strand
4 Misty Rainforest
4 Ardent Plea
4 Violent Outburst
4 Street Wraith
4 Glassdust Hulk
1 Finale of Promise
4 Spirebluff Canal
