1 Engineered Explosives
2 Bedlam Reveler
1 Shard Volley
1 Grim Lavamancer
1 Inspiring Vantage
1 Goblin Guide
1 Rift Bolt
1 Searing Blaze
1 Monastery Swiftspear
1 Lava Spike
1 Lightning Helix
1 Snow-Covered Mountain
1 Eidolon of the Great Revel
1 Scalding Tarn
1 Wooded Foothills
1 Boros Charm
2 Shard Volley
2 Inspiring Vantage
2 Rift Bolt
2 Goblin Guide
2 Searing Blaze
2 Grim Lavamancer
2 Monastery Swiftspear
2 Lava Spike
2 Snow-Covered Mountain
2 Scalding Tarn
2 Eidolon of the Great Revel
2 Boros Charm
2 Wooded Foothills
2 Lightning Helix
3 Inspiring Vantage
3 Searing Blaze
3 Goblin Guide
3 Rift Bolt
3 Monastery Swiftspear
3 Lava Spike
3 Snow-Covered Mountain
3 Eidolon of the Great Revel
3 Lightning Bolt
3 Boros Charm
3 Shard Volley
3 Wooded Foothills
4 Lightning Bolt
4 Goblin Guide
4 Rift Bolt
4 Searing Blaze
4 Inspiring Vantage
4 Monastery Swiftspear
4 Lava Spike
4 Eidolon of the Great Revel
4 Boros Charm
4 Wooded Foothills
4 Shard Volley
