1 Waterlogged Grove
1 Flooded Strand
1 Tolaria West
1 Spell Pierce
1 Apostle's Blessing
1 Spellskite
1 Colossus Hammer
1 Serum Visions
1 Blighted Agent
1 Kor Outfitter
1 Windswept Heath
1 Inkmoth Nexus
1 Sigarda's Aid
1 Misty Rainforest
1 Horizon Canopy
2 Flooded Strand
2 Inkmoth Nexus
2 Spell Pierce
2 Kor Outfitter
2 Sigarda's Aid
2 Colossus Hammer
2 Blighted Agent
2 Serum Visions
3 Flooded Strand
3 Sigarda's Aid
3 Colossus Hammer
3 Blighted Agent
3 Serum Visions
3 Inkmoth Nexus
4 Flooded Strand
4 Serum Visions
4 Sigarda's Aid
4 Blighted Agent
4 Inkmoth Nexus
