1 Castle Embereth
1 Boros Charm
1 Wizard's Lightning
1 Ghitu Lavarunner
1 Inspiring Vantage
1 Sacred Foundry
2 Boros Charm
2 Wizard's Lightning
2 Inspiring Vantage
2 Ghitu Lavarunner
2 Sacred Foundry
3 Boros Charm
3 Ghitu Lavarunner
3 Inspiring Vantage
3 Sacred Foundry
4 Boros Charm
4 Ghitu Lavarunner
4 Sacred Foundry
4 Inspiring Vantage
1 Hazoret the Fervent
1 Battlefield Forge
2 Battlefield Forge
3 Battlefield Forge
4 Battlefield Forge
2 Skullcrack
3 Wizard's Lightning
4 Wizard's Lightning
1 Smuggler's Copter
1 Incendiary Flow
1 Rampaging Ferocidon
1 Sunscorched Desert
2 Ash Zealot
2 Incendiary Flow
2 Sunscorched Desert
2 Rampaging Ferocidon
3 Ash Zealot
3 Incendiary Flow
4 Ash Zealot
1 Clifftop Retreat
2 Clifftop Retreat
3 Clifftop Retreat
