15 Forest
4 Garruk's Harbinger
1 Boon Satyr
2 Boon Satyr
3 Scavenging Ooze
4 Scavenging Ooze
1 Stubborn Denial
1 Barkchannel Pathway
1 Aspect of Hydra
1 Barkhide Troll
1 Breeding Pool
1 Botanical Sanctum
2 Barkchannel Pathway
2 Barkhide Troll
2 Aspect of Hydra
2 Breeding Pool
2 Botanical Sanctum
3 Barkchannel Pathway
3 Breeding Pool
3 Botanical Sanctum
3 Aspect of Hydra
3 Barkhide Troll
4 Barkchannel Pathway
4 Breeding Pool
4 Botanical Sanctum
4 Barkhide Troll
4 Aspect of Hydra
1 Kazandu Mammoth
1 Snow-Covered Forest
2 Snow-Covered Forest
2 Kazandu Mammoth
3 Snow-Covered Forest
3 Kazandu Mammoth
4 Snow-Covered Forest
4 Kazandu Mammoth
5 Snow-Covered Forest
6 Snow-Covered Forest
7 Snow-Covered Forest
8 Snow-Covered Forest
9 Snow-Covered Forest
10 Snow-Covered Forest
11 Snow-Covered Forest
12 Snow-Covered Forest
13 Snow-Covered Forest
14 Snow-Covered Forest
15 Snow-Covered Forest
16 Snow-Covered Forest
17 Snow-Covered Forest
18 Snow-Covered Forest
1 Llanowar Wastes
1 Overgrown Tomb
1 Ghalta, Primal Hunger
1 Blooming Marsh
1 Rotting Regisaur
1 Lovestruck Beast
1 Scrapheap Scrounger
2 Llanowar Wastes
2 Lovestruck Beast
2 Blooming Marsh
2 Ghalta, Primal Hunger
2 Overgrown Tomb
2 Scrapheap Scrounger
2 Rotting Regisaur
3 Llanowar Wastes
3 Rotting Regisaur
3 Lovestruck Beast
3 Scrapheap Scrounger
3 Overgrown Tomb
3 Blooming Marsh
4 Rotting Regisaur
4 Llanowar Wastes
4 Lovestruck Beast
4 Scrapheap Scrounger
4 Overgrown Tomb
4 Blooming Marsh
