3 Barrier Breach
1 Damping Sphere
2 Damping Sphere
2 Scavenging Ooze
3 Damping Sphere
1 Heartless Act
2 Heartless Act
3 Scavenging Ooze
1 Lurrus of the Dream-Den
1 Evolutionary Leap
1 Grafdigger's Cage
2 Grafdigger's Cage
1 Scrapheap Scrounger
2 Scrapheap Scrounger
4 Damping Sphere
1 Shapers' Sanctuary
1 Collective Brutality
2 Collective Brutality
1 The Ozolith
3 Scrapheap Scrounger
1 Fatal Push
2 Fatal Push
3 Soul-Guide Lantern
3 Fatal Push
1 Natural State
1 Lost Legacy
2 Shapers' Sanctuary
3 Grafdigger's Cage
1 Pithing Needle
1 Infinite Obliteration
2 Infinite Obliteration
3 Infinite Obliteration
4 Infinite Obliteration
