4 Archon of Emeria
3 Esika's Chariot
4 Branchloft Pathway
1 Bonecrusher Giant
2 Bonecrusher Giant
3 Kazandu Mammoth
3 Bonecrusher Giant
4 Bonecrusher Giant
3 Sacred Foundry
4 Sacred Foundry
1 Blade Historian
2 Blade Historian
1 Legion Warboss
2 Legion Warboss
3 Legion Warboss
4 Legion Warboss
1 Needleverge Pathway
2 Needleverge Pathway
2 Mana Confluence
4 Kazandu Mammoth
1 Forest
3 Mana Confluence
1 Goblin Rabblemaster
2 Goblin Rabblemaster
3 Goblin Rabblemaster
4 Goblin Rabblemaster
1 Lantern Scout
1 Resolute Blademaster
1 Toski, Bearer of Secrets
2 Resolute Blademaster
2 Toski, Bearer of Secrets
3 Resolute Blademaster
1 Collected Company
1 Elite Spellbinder
1 Tithe Taker
1 Paradise Druid
2 Collected Company
2 Elite Spellbinder
2 Paradise Druid
2 Tithe Taker
3 Collected Company
3 Elite Spellbinder
3 Blade Historian
3 Tithe Taker
4 Collected Company
4 Elite Spellbinder
4 Blade Historian
4 Tithe Taker
1 Tajic, Legion's Edge
1 Snow-Covered Forest
1 Venerable Warsinger
2 Venerable Warsinger
3 Needleverge Pathway
1 Immersturm Raider
2 Immersturm Raider
3 Immersturm Raider
