2 Kari Zev, Skyship Raider
2 Lava Coil
1 By Force
1 Embereth Shieldbreaker
2 Chandra, Torch of Defiance
2 Rampaging Ferocidon
2 Embereth Shieldbreaker
2 By Force
3 Rampaging Ferocidon
3 Chandra, Torch of Defiance
3 Fry
1 Tormod's Crypt
1 Mizzium Mortars
1 Thought-Knot Seer
1 Damping Sphere
2 Thought-Knot Seer
2 Chandra's Defeat
2 Mizzium Mortars
2 Damping Sphere
3 Thought-Knot Seer
3 Damping Sphere
4 Thought-Knot Seer
4 Damping Sphere
1 Searing Blood
1 Experimental Frenzy
1 Goblin Chainwhirler
2 Searing Blood
2 Goblin Chainwhirler
2 Tormod's Crypt
2 Experimental Frenzy
3 Searing Blood
3 Tormod's Crypt
3 Experimental Frenzy
4 Tormod's Crypt
4 Searing Blood
1 Eldrazi Obligator
3 Goblin Chainwhirler
