2 Shacklegeist
1 Skyclave Apparition
2 Skyclave Apparition
4 Selfless Spirit
1 Unclaimed Territory
1 Breeding Pool
1 Collected Company
1 Botanical Sanctum
2 Breeding Pool
2 Collected Company
2 Botanical Sanctum
3 Breeding Pool
3 Collected Company
3 Botanical Sanctum
4 Breeding Pool
4 Collected Company
1 Branchloft Pathway
1 Temple Garden
2 Temple Garden
3 Temple Garden
3 Nebelgast Herald
2 Unclaimed Territory
1 Glasspool Mimic
3 Skyclave Apparition
4 Temple Garden
3 Unclaimed Territory
2 Branchloft Pathway
1 Remorseful Cleric
1 Port Town
2 Port Town
9 Island
1 Curious Obsession
1 Irrigated Farmland
2 Curious Obsession
3 Curious Obsession
3 Port Town
1 Yavimaya Coast
1 Archon of Emeria
1 Brazen Borrower
2 Brazen Borrower
4 Skyclave Apparition
1 Castle Ardenvale
2 Archon of Emeria
2 Remorseful Cleric
3 Remorseful Cleric
2 Irrigated Farmland
4 Port Town
3 Branchloft Pathway
4 Branchloft Pathway
5 Plains
