4 Breeding Pool
1 Stomping Ground
2 Stomping Ground
3 Stomping Ground
3 Overgrown Tomb
1 Mountain
1 Walking Ballista
1 Enter the Infinite
1 Blood Crypt
1 Borborygmos Enraged
1 Possibility Storm
1 Lovestruck Beast
1 Dragonskull Summit
1 Rootbound Crag
2 Lovestruck Beast
2 Blood Crypt
2 Rootbound Crag
2 Possibility Storm
2 Dragonskull Summit
3 Possibility Storm
3 Lovestruck Beast
4 Possibility Storm
4 Lovestruck Beast
4 Stomping Ground
4 Overgrown Tomb
1 Goblin Rabblemaster
1 Fatal Push
1 Kolaghan's Command
1 Beanstalk Giant
1 Captain Lannery Storm
1 Scavenging Ooze
1 Llanowar Elves
1 Elvish Mystic
2 Goblin Rabblemaster
2 Kolaghan's Command
2 Elvish Mystic
2 Scavenging Ooze
2 Beanstalk Giant
2 Captain Lannery Storm
2 Llanowar Elves
2 Fatal Push
3 Goblin Rabblemaster
3 Beanstalk Giant
3 Fatal Push
4 Goblin Rabblemaster
4 Beanstalk Giant
4 Fatal Push
1 Harnessed Lightning
2 Harnessed Lightning
3 Harnessed Lightning
4 Harnessed Lightning
1 Circuitous Route
1 Dimir Guildgate
1 Gruul Guildgate
1 Boros Guildgate
1 Ugin, the Spirit Dragon
1 Arboreal Grazer
1 Elvish Rejuvenator
1 Hydroid Krasis
1 Growth Spiral
1 Selesnya Guildgate
1 Gate Colossus
1 Maze's End
1 Gates Ablaze
1 Golgari Guildgate
1 Gateway Plaza
1 Izzet Guildgate
1 Plaza of Harmony
1 Simic Guildgate
1 Orzhov Guildgate
1 Azorius Guildgate
1 Guild Summit
1 Gatebreaker Ram
1 Rakdos Guildgate
2 Circuitous Route
2 Gruul Guildgate
2 Arboreal Grazer
2 Elvish Rejuvenator
2 Maze's End
2 Growth Spiral
2 Hydroid Krasis
2 Simic Guildgate
2 Plaza of Harmony
2 Gatebreaker Ram
2 Guild Summit
2 Gates Ablaze
2 Golgari Guildgate
3 Circuitous Route
3 Arboreal Grazer
3 Elvish Rejuvenator
3 Hydroid Krasis
3 Simic Guildgate
3 Gatebreaker Ram
3 Gates Ablaze
3 Guild Summit
3 Growth Spiral
3 Maze's End
3 Plaza of Harmony
3 Gruul Guildgate
4 Circuitous Route
4 Arboreal Grazer
4 Elvish Rejuvenator
4 Hydroid Krasis
4 Gates Ablaze
4 Plaza of Harmony
4 Gatebreaker Ram
4 Growth Spiral
3 Servant of the Conduit
4 Servant of the Conduit
1 Wicked Wolf
1 Cryptolith Rite
1 Bonecrusher Giant
1 Shared Summons
1 Murderous Rider
2 Wicked Wolf
2 Murderous Rider
2 Bonecrusher Giant
3 Wicked Wolf
3 Murderous Rider
3 Blood Crypt
3 Bonecrusher Giant
4 Murderous Rider
4 Bonecrusher Giant
4 Blood Crypt
