1 Opt
2 Opt
4 Omnath, Locus of Creation
4 Treasure Cruise
1 Paradise Druid
3 Opt
1 Botanical Sanctum
2 Botanical Sanctum
3 Botanical Sanctum
4 Opt
4 Botanical Sanctum
1 Breeding Pool
2 Paradise Druid
1 Portable Hole
2 Portable Hole
3 Paradise Druid
1 Silence
1 Radiant Flames
1 Izzet Charm
2 Breeding Pool
3 Portable Hole
1 Steam Vents
2 Escape to the Wilds
1 Hengegate Pathway
2 Hengegate Pathway
3 Hengegate Pathway
4 Hengegate Pathway
1 Cragcrown Pathway
4 Portable Hole
1 Spirebluff Canal
1 Faeburrow Elder
1 Tamiyo, Collector of Tales
1 Deserted Beach
2 Spirebluff Canal
2 Faeburrow Elder
4 Sylvan Awakening
1 Mystical Dispute
2 Temple Garden
3 Stomping Ground
3 Hallowed Fountain
1 Barkchannel Pathway
2 Barkchannel Pathway
1 Branchloft Pathway
2 Branchloft Pathway
1 Stormcarved Coast
1 Lumbering Falls
1 Overgrown Farmland
3 Breeding Pool
1 Riverglide Pathway
1 Inspired Idea
2 Riverglide Pathway
2 Cragcrown Pathway
3 Riverglide Pathway
3 Barkchannel Pathway
3 Cragcrown Pathway
3 Branchloft Pathway
4 Branchloft Pathway
4 Riverglide Pathway
4 Barkchannel Pathway
4 Cragcrown Pathway
1 Sacred Foundry
2 Steam Vents
4 Stomping Ground
4 Hinterland Harbor
