4 Zenith Flare
4 Valiant Rescuer
1 Frostveil Ambush
2 Frostveil Ambush
1 Footfall Crater
2 Footfall Crater
3 Footfall Crater
4 Drannith Healer
1 Shredded Sails
1 Brightclimb Pathway
1 Memory Leak
2 Brightclimb Pathway
2 Memory Leak
3 Memory Leak
4 Memory Leak
1 Ketria Triome
3 Brightclimb Pathway
4 Footfall Crater
1 Mystical Dispute
4 Brightclimb Pathway
2 Shredded Sails
1 Blightstep Pathway
3 Frostveil Ambush
2 Plains
1 Clearwater Pathway
1 Splendor Mare
2 Blightstep Pathway
2 Clearwater Pathway
2 Rielle, the Everwise
3 Clearwater Pathway
3 Rielle, the Everwise
4 Clearwater Pathway
