1 Quasiduplicate
1 Ral, Izzet Viceroy
1 Izzet Guildgate
1 Murmuring Mystic
1 Treasure Map
2 Treasure Map
1 Deafening Clarion
1 Glacial Fortress
1 Sacred Foundry
1 Clifftop Retreat
2 Sacred Foundry
2 Deafening Clarion
2 Glacial Fortress
3 Glacial Fortress
3 Sacred Foundry
4 Sacred Foundry
2 Clifftop Retreat
3 Deafening Clarion
3 Treasure Map
1 Drowned Catacomb
1 Siege-Gang Commander
1 Highland Lake
2 Siege-Gang Commander
3 Niv-Mizzet, Parun
4 Treasure Map
4 Niv-Mizzet, Parun
1 Maximize Velocity
4 Deafening Clarion
4 Glacial Fortress
