14 Mountain
15 Mountain
16 Mountain
17 Mountain
18 Mountain
19 Mountain
3 Arid Mesa
1 Searing Blaze
2 Searing Blaze
3 Searing Blaze
4 Wooded Foothills
1 Barbarian Ring
3 Exquisite Firecraft
3 Bloodstained Mire
1 Scalding Tarn
2 Scalding Tarn
3 Scalding Tarn
4 Scalding Tarn
4 Arid Mesa
2 Flame Rift
1 Grim Lavamancer
4 Bloodstained Mire
1 Thunderous Wrath
1 Risk Factor
2 Risk Factor
2 Sulfuric Vortex
1 Cursed Scroll
2 Cursed Scroll
2 Grim Lavamancer
1 Searing Blood
2 Searing Blood
2 Thunderous Wrath
3 Thunderous Wrath
1 Monastery Mentor
1 Hellspark Elemental
2 Monastery Mentor
2 Hellspark Elemental
3 Monastery Mentor
4 Monastery Mentor
3 Flame Rift
4 Flame Rift
20 Mountain
