1 Narset, Parter of Veils
1 Engineered Explosives
1 Snow-Covered Forest
1 Ice-Fang Coatl
1 Vendilion Clique
1 Spell Pierce
1 Noble Hierarch
1 Snow-Covered Island
1 Sylvan Library
1 Flooded Strand
1 Prismatic Vista
2 Spell Pierce
2 Narset, Parter of Veils
2 Snow-Covered Forest
2 Snow-Covered Island
2 Ice-Fang Coatl
2 Trinket Mage
2 Prismatic Vista
2 Noble Hierarch
2 Flooded Strand
3 Prismatic Vista
3 Ice-Fang Coatl
3 Snow-Covered Island
3 Noble Hierarch
4 Snow-Covered Island
4 Ice-Fang Coatl
5 Snow-Covered Island
4 Prismatic Vista
