1 Prismatic Vista
1 Breeding Pool
1 Snow-Covered Forest
1 Ingenious Infiltrator
1 Misty Rainforest
1 Overgrown Tomb
1 Flooded Strand
1 Ice-Fang Coatl
1 Fallen Shinobi
1 Faerie Seer
2 Misty Rainforest
2 Ingenious Infiltrator
2 Faerie Seer
2 Ice-Fang Coatl
3 Misty Rainforest
3 Cryptic Command
3 Ingenious Infiltrator
3 Snapcaster Mage
3 Ice-Fang Coatl
3 Faerie Seer
4 Ingenious Infiltrator
4 Misty Rainforest
4 Cryptic Command
4 Ice-Fang Coatl
4 Faerie Seer
4 Inquisition of Kozilek
5 Snow-Covered Island
6 Snow-Covered Island
