3 Fatal Push
4 Blackcleave Cliffs
3 Wooded Foothills
4 Wooded Foothills
2 Arid Mesa
1 Marsh Flats
1 Lightning Skelemental
1 Unearth
1 Seasoned Pyromancer
2 Unearth
2 Lightning Skelemental
2 Marsh Flats
2 Seasoned Pyromancer
3 Lightning Skelemental
1 Verdant Catacombs
1 Snow-Covered Swamp
1 Snow-Covered Mountain
2 Snow-Covered Mountain
2 Verdant Catacombs
3 Blood Crypt
3 Seasoned Pyromancer
3 Unearth
4 Lightning Skelemental
4 Seasoned Pyromancer
1 Collective Brutality
2 Collective Brutality
2 Scalding Tarn
3 Gurmag Angler
3 Scalding Tarn
4 Scalding Tarn
