3 Thoughtseize
4 Inquisition of Kozilek
2 Forest
2 Terminate
1 Dreadbore
2 Treetop Village
4 Dark Confidant
2 Maelstrom Pulse
2 Wooded Foothills
4 Raging Ravine
1 Blooming Marsh
2 Blooming Marsh
2 Abrupt Decay
4 Bloodstained Mire
1 Ghost Quarter
1 Tireless Tracker
3 Kolaghan's Command
2 Blood Crypt
3 Blooming Marsh
1 Grim Lavamancer
1 Collective Brutality
1 Golgari Charm
2 Ghost Quarter
2 Tireless Tracker
1 Polluted Delta
1 Nihil Spellbomb
1 Jund Charm
1 Marsh Flats
2 Nihil Spellbomb
1 Chandra, Torch of Defiance
1 Grim Flayer
2 Grim Flayer
3 Grim Flayer
4 Grim Flayer
1 Necrotic Ooze
2 Necrotic Ooze
3 Blood Crypt
3 Overgrown Tomb
3 Necrotic Ooze
