3 Plains
4 Plains
5 Plains
6 Plains
1 Windswept Heath
4 Marsh Flats
2 Arid Mesa
5 Snow-Covered Plains
6 Snow-Covered Plains
1 Paradise Mantle
2 Windswept Heath
1 Cranial Plating
1 Swiftfoot Boots
1 Castle Ardenvale
1 Blinkmoth Nexus
2 Cranial Plating
2 Paradise Mantle
3 Paradise Mantle
4 Memnite
7 Snow-Covered Plains
8 Snow-Covered Plains
9 Snow-Covered Plains
10 Snow-Covered Plains
11 Snow-Covered Plains
1 Sacred Foundry
1 Goblin Engineer
1 Wishclaw Talisman
1 Sunbaked Canyon
2 Sunbaked Canyon
2 Goblin Engineer
2 Sacred Foundry
3 Sunbaked Canyon
3 Goblin Engineer
4 Goblin Engineer
4 Sunbaked Canyon
