2 Kalitas, Traitor of Ghet
1 Duress
1 Languish
1 Dark Confidant
1 Assassin's Trophy
1 Bojuka Bog
1 Waste Not
2 Dark Confidant
2 Assassin's Trophy
2 Bojuka Bog
1 Anguished Unmaking
2 Anguished Unmaking
1 Damping Sphere
1 Fatal Push
1 Ghost Quarter
1 Ensnaring Bridge
1 Surgical Extraction
1 Ratchet Bomb
2 Surgical Extraction
2 Nihil Spellbomb
2 Ratchet Bomb
2 Fatal Push
3 Surgical Extraction
4 Surgical Extraction
1 Death's Shadow
1 Delirium Skeins
2 Damping Sphere
2 Delirium Skeins
2 Death's Shadow
3 Delirium Skeins
3 Bontu's Last Reckoning
