4 Serum Visions
1 Risk Factor
1 Lava Spike
1 Arid Mesa
1 Twisted Image
2 Risk Factor
2 Stormchaser Mage
2 Lava Spike
2 Arid Mesa
3 Arid Mesa
3 Stormchaser Mage
3 Monastery Swiftspear
3 Lava Spike
4 Arid Mesa
4 Lava Spike
4 Monastery Swiftspear
4 Stormchaser Mage
1 Flooded Strand
1 Vendilion Clique
1 Spell Snare
2 Spell Snare
4 Remand
1 Cryptic Command
2 Faerie Conclave
3 Nimble Obstructionist
3 Mutavault
4 Nimble Obstructionist
1 Misty Rainforest
1 Snow-Covered Mountain
1 Wooded Foothills
1 Polluted Delta
2 Snow-Covered Mountain
2 Burst Lightning
1 Bloodstained Mire
1 Spell Pierce
1 Spellstutter Sprite
2 Flooded Strand
3 Flooded Strand
1 Mana Leak
2 Mana Leak
2 Vendilion Clique
3 Faerie Conclave
3 Mana Leak
4 Steam Vents
1 Atarka's Command
1 Dreadhorde Arcanist
1 Sleight of Hand
1 Copperline Gorge
1 Breeding Pool
1 Mutagenic Growth
1 Stomping Ground
2 Atarka's Command
2 Dreadhorde Arcanist
2 Sleight of Hand
2 Misty Rainforest
2 Mutagenic Growth
3 Atarka's Command
3 Sleight of Hand
3 Misty Rainforest
3 Mutagenic Growth
3 Dreadhorde Arcanist
4 Sleight of Hand
4 Misty Rainforest
4 Dreadhorde Arcanist
4 Mutagenic Growth
