1 Mountain
1 Atarka's Command
1 Kird Ape
1 Pelt Collector
1 Hidden Herbalists
1 Wild Nacatl
1 Copperline Gorge
1 Dryad Arbor
1 Goblin Bushwhacker
1 Reckless Bushwhacker
1 Contested War Zone
1 Burning-Tree Emissary
1 Manamorphose
1 Narnam Renegade
1 Vexing Devil
1 Goblin Guide
2 Atarka's Command
2 Hidden Herbalists
2 Kird Ape
2 Pelt Collector
2 Wild Nacatl
2 Copperline Gorge
2 Goblin Bushwhacker
2 Narnam Renegade
2 Reckless Bushwhacker
2 Goblin Guide
2 Burning-Tree Emissary
2 Vexing Devil
3 Atarka's Command
3 Hidden Herbalists
3 Kird Ape
3 Wild Nacatl
3 Copperline Gorge
3 Goblin Bushwhacker
3 Burning-Tree Emissary
3 Stomping Ground
3 Narnam Renegade
3 Reckless Bushwhacker
3 Goblin Guide
4 Atarka's Command
4 Wild Nacatl
4 Burning-Tree Emissary
4 Reckless Bushwhacker
4 Stomping Ground
4 Goblin Guide
