1 Miscast
2 Miscast
3 Miscast
1 Cerulean Drake
2 Cerulean Drake
3 Cerulean Drake
1 Lazotep Plating
1 Tormod's Crypt
2 Tormod's Crypt
1 Grafdigger's Cage
1 Whirlwind Denial
2 Grafdigger's Cage
2 Whirlwind Denial
1 Sinister Sabotage
1 Shark Typhoon
1 God-Eternal Kefnet
1 Callous Dismissal
2 Sinister Sabotage
2 Callous Dismissal
2 God-Eternal Kefnet
3 Callous Dismissal
4 Callous Dismissal
1 Stern Dismissal
1 Keep Safe
1 Disdainful Stroke
1 Essence Scatter
2 Keep Safe
2 Disdainful Stroke
3 Keep Safe
3 Negate
4 Negate
2 Mystical Dispute
4 Mystical Dispute
4 Cerulean Drake
3 Mystical Dispute
