1 Soul Sear
1 Shredded Sails
2 Shredded Sails
1 Satyr's Cunning
1 Scorching Dragonfire
1 Blazing Volley
2 Satyr's Cunning
2 Blazing Volley
2 Scorching Dragonfire
3 Blazing Volley
3 Scorching Dragonfire
4 Scorching Dragonfire
1 Fire Prophecy
1 Chandra, Heart of Fire
2 Chandra, Heart of Fire
2 Fire Prophecy
1 Redcap Melee
2 Redcap Melee
1 Solemn Simulacrum
1 Mazemind Tome
2 Storm's Wrath
1 Underworld Rage-Hound
2 Underworld Rage-Hound
3 Satyr's Cunning
3 Underworld Rage-Hound
4 Soul-Guide Lantern
1 Spellgorger Weird
2 Spellgorger Weird
3 Spellgorger Weird
4 Spellgorger Weird
